Question,Option1,Option2,Option3,Option4,Correct Answer
Which of the following fibers can be stained with orscin stain,Collegen fibers,Elastic fibers,Reticular fibers,,B
Where is mucoid connective tissue can be found,Tendons of muscles,Solera of eye,Umbilical cord,Wall of aorta,C
15 y Male patient came to the surgical clinic with sever pain in the ankle after playing football with his collegues. By examination there were injury in the Tendon of calf muscle. Which of the following cells are responsible for repairing this Tendon,Macrophages,Plasma cells,Fibroblasts,Mast cells,C
A thickened rod like structure present at the caudal part of the embryonic disc is called,Primitive streak,Primitive node,Primitive pit,Notochord,A
Remnants of notochord give,Annulus fibrosis of intervertebral disc,the nucleus pulposus of intervertebral disc,Vertebrae,Spinal cord,B
Dorsal root ganglia of spinal cord arise from,Spinal cord,Neural plate,Neural tube,Neural crest,D
Allantois will form,yolk sac,amniotic cavity,connecting stalk,urinary bladder,D
Somites are derived from,paraxial mesoderm,intermediate mesoderm,lateral plate mesoderm,notochord,A
Genitourinary system is derived from,paraxial mesoderm,intermediate mesoderm,lateral plate mesoderm,notochord,B
Digestive system except mouth vestibule & lower ½ of anal canal is derived from,ectoderm,mesoderm,endoderm,trophoblast,C
Lining of urinary bladder is derived from,ectoderm,mesoderm,endoderm,trophoblast,C
Which statement is true about plasma cells,They have metachromatic granules,They have clock face nucleus,They have strong acidophilic cytoplasm,They have multiple cytoplasmic processes,B
Which statement is true about macrophages,They originate from blood monocytes,They originate from B lymphocytes,They originate from T lymphocytes,They originate from plasma cells,A
Which statement is true about mast cells,They have numerous lysosomes,They are characterized by presence of negative Golgi image in their cytoplasm,They have numerous metachromatic granules,They can be demonstrated by vital stain,C
A boy 7 years old presented in to a clinic with skin redness with patches And itching all over his body. His mother gave a history of eating strawberries about 5 hours before the appearence of these symptoms. There were elevated serum level of histamine and heparin. Which cell of the following is responsible for this case,Plasma cell,Mast cell,Macrophage,Fibroblast,B
Articular surfaces of various synovial joints are formed of,Hyaline cartilage,Elastic cartilage,Fibrocartilage,Spongy bone,A
Deposition of new cartilage on the surface of existing cartilage defined as,Interstitial growth,Appositional growth,Intramembranous growth,Intracartilagenous growth,B
Which of the following cells are not present in lacuna,Osteocyte,Osteoclast,Osteoblast,Chondrocyte,B
Type of fibers present in the inter-vertebral discs is,Elastic fibers,Collagen type I,Collagen type II,Collagen type III,B
The Organic component of bone matrix formed Mainly of,Calcium phosphorous,Bicarbonates,Collagen type I,Collagen type II,C
The interior of all bones mainly flat bones formed of,Elastic cartilage,Compact bone,Spongy bone,Hyaline cartilage,C
The amniotic cavity surrounds the whole embryo after,implantation,cleavage,folding,gastrulation,C
The amniotic cavity enlarges & obliterates the chorionic cavity by the,5th week,10th week,15th week,20th week,B
Primary ossification centers appear in long bones during,2nd month,3rd month,4th month,5th month,B
is soft un pigmented downy hairs that cover the whole fetal skin between 5- 7 months of pregnancy,coarse hair,Vernix hair,Lanugo hair,back hair,C
failure of reduction of the physiological hernia back to the abdominal cavity called,short cord,Omphalocele,true knot,Velamentous cord,B
Group of anomalies occurring together by a specific cause called,Malformations,Disruptions,Deformations,syndromes,D
Conjoined twin is incomplete separation of,Dizygotic twins,Triple twins,Monozygotic twins,None of the above,C
In monozygotic twins if division occurred at two cell stage each fetus has,its own chorion placenta and amniotic sac,separate amniotic sac but common chorion and placenta.,common chorion placenta and amniotic sac,different sex,A
The functional unit of exchange between fetus and the mother is,amnion,placenta,umbilical cord,amniotic fluid,B
Fetal part of the placenta is,chorion frondosum.,decidua basalis,Decidua capsularis,Decidua paritalis,A
when the umbilical cord attached to the chorion some distance from the placenta it is called,battedore placenta,marginal attachment,Velamentous attachement,bipartite placenta,C
is a soft tortuous structure which connects the fetus to the placenta,annnon,umbilical cord,chorion,fallopian tube,B
